sector,project,account_item,status,request_id,code,vendor,amount_total,amount_paid,amount_canceled,amount_remaining,source_request_date,payment_request_date,approval_date,payment_date,Time
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011281,مؤسسة انجاز المبدع للمقاولات,"10,473","10,473",0,0,45830,,45830,45830,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011281,مؤسسة انجاز المبدع للمقاولات,"9,405","9,405",0,0,45811,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011281,مؤسسة انجاز المبدع للمقاولات,"2,588","2,588",0,0,45795,-,45844,45844,432-7-6
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,2103,2103011281,مؤسسة انجاز المبدع للمقاولات,"9,238","9,238",0,0,45811,,45853,45853,517-7-15
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011131,مؤسسة منال عايض بن قاعد العتيبي للمقاولات العامة,"10,216","10,216",0,0,45811,,45844,45844,432-7-6
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011131,مؤسسة منال عايض بن قاعد العتيبي للمقاولات العامة,"20,000","20,000",0,0,45811,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011498,مؤسسة صهوة طيبة للمقاولات المعمارية,"18,404","18,404",0,0,45787,45855,45855,45858,226-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011498,مؤسسة صهوة طيبة للمقاولات المعمارية,"18,963","18,963",0,0,45798,-,45872,45872,540-8-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011041,مؤسسة أنجال الهندسة للمقاولات العامة,"20,244","20,244",0,0,45815,,45850,45850,133-7-12
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011041,مؤسسة أنجال الهندسة للمقاولات العامة,"40,000","40,000",0,0,45815,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"5,261","5,261",0,0,45811,45855,45855,45858,226-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010855,مؤسسة عراقة الإعمار للمقاولات,"85,388","85,388",0,0,45798,-,45844,45844,432-7-6
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2101011042,مؤسسة منيف مضحي صالح العتيبي للنقليات,"12,857","12,857",0,0,45815,45855,45855,45858,226-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011530,مؤسسة ثري طيبة للمقاولات,"12,887","12,887",0,0,45809,45855,45855,45858,226-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011529,شركة فوارس الخير للمقاولات,"31,038","31,038",0,0,45809,,45830,45830,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,-,-,مؤسسة تى ارت للمقاولات,"4,698","4,698",0,0,45803,45855,45855,45858,226-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010473,شركة مجموعة بن شيهون المحدودة,"11,615",0,"11,615",0,45801,-,-,-,-
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010718,مؤسسة دخيل الله دخيل عوده السفياني - أمن وسلامة,"5,200",0,"5,200",0,45792,-,-,-,-
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010718,مؤسسة دخيل الله دخيل عوده السفياني - أمن وسلامة,"2,360",0,"2,360",0,45839,,-,-,-
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101010815,شركة التقنيون السعوديون - سعودي تك لفحص التربة,"31,642","31,642",0,0,45815,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101011043,مؤسسة عالية طيبة للمقاولات,"11,500","11,500",0,0,45764,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,موردين,,,2101011043,مؤسسة عالية طيبة للمقاولات,"8,050","8,050",0,0,45806,45855,45855,45858,226-7-17
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,عهدة,,144,-,طلب عهدة - محمد القطفاني,"17,000","17,000",0,0,45808,-,,,
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011502,شركة عياش المتقدمة للمقاولات,"10,000","10,000",0,0,45789,-,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011502,شركة عياش المتقدمة للمقاولات,"10,000","10,000",0,0,45789,-,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011502,شركة عياش المتقدمة للمقاولات,"10,000","10,000",0,0,45789,-,45858,45858,1052-7-20
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011502,شركة عياش المتقدمة للمقاولات,"8,006","8,006",0,0,45789,-,45870,45870,850-8-2
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011266,مؤسسة روعة الامثال للمقاولات العامة,"5,768","5,768",0,0,45792,-,45848,45848,-
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011266,مؤسسة روعة الامثال للمقاولات العامة,"18,382","18,382",0,0,45792,-,45858,45858,1052-7-20
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011266,مؤسسة روعة الامثال للمقاولات العامة,"10,249","10,249",0,0,45839,,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011465,مؤسسة إمتداد المباني الماسية للمقاولات,"4,337","4,337",0,0,45798,45832,45832,45832,1205-6-24
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"25,070","25,070",0,0,45832,,45832,45832,
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"10,792","10,792",0,0,45798,-,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"21,868","21,868",0,0,45798,-,45832,45832,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"11,213","11,213",0,0,45798,-,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"3,254","3,254",0,0,45798,-,45858,45858,1052-7-20
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011111,مؤسسة الاعمار الاخير للمقاولات العامة,"11,624","11,624",0,0,45839,,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,0,2103011506,مؤسسة امتداد التميز للمقاولات العامة,"31,749","31,749",0,0,45801,-,45799,45799,-
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011493,شركة الطريق الصعب للمقاولات,"9,407","9,407",0,0,45848,,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011111,مؤسسة الاعمار الاخير للمقاولات العامة,"12,340","12,340",0,0,45804,-,45832,45832,-
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011111,مؤسسة الاعمار الاخير للمقاولات العامة,"1,000","1,000",0,0,45804,-,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011528,مؤسسة الصقر الراقي للمقاولات الامة,"10,000","10,000",0,0,45804,-,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011528,مؤسسة الصقر الراقي للمقاولات الامة,"8,153","8,153",0,0,45804,-,45867,45867,1008-7-29
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011111,مؤسسة الاعمار الاخير للمقاولات العامة,"15,786","15,786",0,0,45812,,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,0,2103011506,مؤسسة امتداد التميز للمقاولات العامة,"5,019","5,019",0,0,45823,,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,0,2103011217,مقاول باطن / مؤسسة نسمة للصيانة والتشطيب,"5,388","5,388",0,0,45823,,-,45904,-
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011465,مؤسسة إمتداد المباني الماسية للمقاولات,"15,000","15,000",0,0,45823,45848,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011465,مؤسسة إمتداد المباني الماسية للمقاولات,"10,000","10,000",0,0,45823,45858,45858,45858,1052-7-20
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011465,مؤسسة إمتداد المباني الماسية للمقاولات,"11,289","11,289",0,0,45823,45867,45867,45867,1008-7-29
قطاع التحلية,واحة التحلية برابغ,موردين,,,2101010749,مؤسسة الاسناد والقوة للحراسات الامنية,"32,200","32,200",0,0,45822,45839,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,سدادات,,,1125010003,غانم صالح الغانمي,"1,000","1,000",0,0,45825,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,1125010003,غانم صالح الغانمي,"3,000","3,000",0,0,45825,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,-,صالح عابد عتيق الجحدلي,"11,500","11,500",0,0,45825,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,-,فاتورة رقم 30065888397,465,465,0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 30122744865,753,753,0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 10063007349,604,604,0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 10064876031,379,379,0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 10062112850,479,479,0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 10062112377,529,529,0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 30073836733,"4,840","4,840",0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 30101651853,"5,608","5,608",0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,سدادات,,,5104000007,فاتورة رقم 30057292571,"2,709","2,709",0,0,45812,,45831,45831,
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011304,محمد تاسن كامل حسن,"5,023","5,023",0,0,45801,-,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,ك.ح,2103011516,ابراهيم محمد,"10,600","10,600",0,0,45832,45839,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,ك.ح,2103011516,ابراهيم محمد,"10,000","10,000",0,0,45832,45848,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011284,محمد بشير فيض,"1,000","1,000",0,0,45801,-,-,45830,-
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011284,محمد بشير فيض,"10,000","10,000",0,0,45801,45839,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011284,محمد بشير فيض,"10,000","10,000",0,0,45801,45848,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011284,محمد بشير فيض,"5,000","5,000",0,0,45801,45858,45858,45858,1052-7-20
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011284,محمد بشير فيض,"9,458","9,458",0,0,45801,45867,45867,45867,1008-7-29
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011480,وليد محمد عبدالحميد رمضان,"12,786","12,786",0,0,45832,,45834,45834,
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,272,2103011300,محمد شفيق نزامي,"10,000","10,000",0,0,45804,45848,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,272,2103011300,محمد شفيق نزامي,"11,364","11,364",0,0,45804,45867,45867,45867,1008-7-29
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,272,2103011300,محمد شفيق نزامي,"5,000","5,000",0,0,45804,45858,45858,45858,1052-7-20
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,-,عمرو العادلي احمد خليل,"6,246","6,246",0,0,45804,-,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011531,محمد عمر فاروق شهزادة,"5,763","5,763",0,0,45826,,45867,45867,1008-7-29
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011496,فيدا حسين غلام مرتضي,"13,250","13,250",0,0,45820,,45832,45832,
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,276,2103011500,ابرار حسين محمد,"34,960","34,960",0,0,45820,45839,45839,45839,1230-7-1
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011480,وليد محمد عبدالحميد رمضان,"2,474","2,474",0,0,45820,,45832,45832,
قطاع التحلية,واحة التحلية برابغ,مقاولين الباطن,,,2103011480,وليد محمد عبدالحميد رمضان,"8,648","8,648",0,0,45820,,45848,45848,1257-7-10
قطاع التحلية,واحة التحلية برابغ,عهدة,,0,1101000011,طلب عهدة - جمعة روبي,"212,546","212,546",0,0,45839,-,-,45839,-
قطاع رأس الخير و روشن,رأس الخير,موردين,,,-,شركة منبع المعدات,"2,975","2,975",0,0,45830,45830,45830,45830,1210-6-22
قطاع الإسكان,معدات الاسكان,موردين,,,2101011040,الأفضل للالات والمعدات,"2,250",0,"2,250",0,45830,45830,45830,45870,1210-6-22
قطاع رأس الخير و روشن,رأس الخير,موردين,,,2101010530,نوال عاصي امبارك ( ورشة فن الديزل ),"5,000","5,000",0,0,45830,45830,45830,45830,1210-6-22
قطاع الإسكان,معدات الاسكان,موردين,,,2101011077,شركة الفارع الدولية التجاريه ش,"9,085","9,085",0,0,45810,,45838,45838,
قطاع الإسكان,معدات الاسكان,موردين,,,-,ركن الريادة لقطع الغيار,"1,510","1,510",0,0,45824,,45833,45833,
قطاع الإسكان,معدات الاسكان,موردين,,,-,ورشة أبناء الدقهلية لصيانة الشاحانات ( مؤسسة أبناء الصيانة ),"4,700","4,700",0,0,45838,-,45838,45838,-
قطاع الإسكان,معدات الاسكان,موردين,,,2101011090,شركة أسس النجد,"11,800","11,800",0,0,45801,-,45838,45838,
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سدادات,,,1125010003,أسم المؤجر - محمد بن عيسي بن محمد الغنيم,"18,000","18,000",0,0,45840,45844,45844,45844,1036-7-2
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سدادات,,,1125010003,أسم المؤجر - نصار بن علي محمد البقشي,"27,500","27,500",0,0,45859,45859,45859,45859,141-7-21
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,,2101010965,شركة عبدالكريم عبدالله المنصور للاستشارات الهندسية,"14,440","14,440",0,0,45852,45852,45852,45852,452-7-14
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,موردين,,,2101010965,شركة عبدالكريم عبدالله المنصور للاستشارات الهندسية,"19,213","19,213",0,0,45825,45873,45873,45873,945-8-4
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,,2103011484,مؤسسة امل صالح بن هادى اليامى,"14,260","14,260",0,0,45811,,45860,45860,442-7-6
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,0,2103011475,مؤسسة نخبة الكساء للمقاولات,"50,000","50,000",0,0,45847,45847,45861,45861,855-7-9
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,0,2103011475,مؤسسة نخبة الكساء للمقاولات,"33,490","33,490",0,0,45869,45869,45869,45869,117-7-31
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,41,2103011475,مؤسسة نخبة الكساء للمقاولات,"33,327","33,327",0,0,45811,45883,45883,45883,852-8-14
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,41,2103011475,مؤسسة نخبة الكساء للمقاولات,"33,327",0,"33,327",0,45811,45893,45893,-,202-8-24
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,41,2103011470,مؤسسة انجاز و امتياز للمقاولات العامة,"28,175","28,175",0,0,45811,45973,45973,45974,217-11-12
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,,2101010851,مؤسسة محمد صالح العمران,"77,804","77,804",0,0,45789,45855,45855,45855,352-7-17
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,,2101010851,مؤسسة محمد صالح العمران,"77,804","77,804",0,0,45789,45844,45844,45844,442-7-6
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,مقاولين الباطن,,,2101010851,مؤسسة محمد صالح العمران,"10,212","6,627","3,585",0,45811,-,-,45869,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سداد تصاريح حفر,,,5104000094,فاتورة رقم 250616020929,"2,047",0,"2,047",0,45827,-,-,-,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سداد تصاريح حفر,,,5104000094,فاتورة رقم 250616020928,415,0,415,0,45827,-,-,-,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سداد تصاريح حفر,,,5104000094,فاتورة رقم 250616021781,"1,167",0,"1,167",0,45834,-,-,-,-
قطاع المياة والصرف الصحي,إستكمال شبكات الصرف الصحي لمدينتي الهفوف والمبرز,سداد تصاريح حفر,,,5104000094,فاتورة رقم 25061620940,585,0,585,0,45834,-,-,-,-
قطاعات أخرى,مشروع عقد كهرباء 36 ك .ف جازان,عهدة,,0,1109010174,طلب عهدة - تاج الدين شرف الدين,"11,210","11,210",0,0,45839,-,-,45839,-
قطاع المصانع,مصنع مطابخ الاسكان,عهدة,,0,1101000012,طلب عهدة - اسامة موسى,"10,000","10,000",0,0,45830,45830,45830,45830,1210-6-22
قطاع المياة والصرف الصحي,شبكات الصرف الصحي ومحطة الرفع بالعزيزية الخبر,سداد تصاريح حفر,,,5104000094,سداد فاتورة رقم 250616012426,"7,031",0,"7,031",0,45827,-,-,-,-
قطاع المياة والصرف الصحي,شبكات الصرف الصحي ومحطة الرفع بالعزيزية الخبر,سدادات,,,-,مؤسسة حسن أبو بكر بامردوف للخدمات العقارية,"9,500","9,500",0,0,45827,,45831,45831,
قطاع المياة والصرف الصحي,شبكات الصرف الصحي ومحطة الرفع بالعزيزية الخبر,عهدة,,0,-,طلب عهدة - اسلام عشماوي,"17,700","17,700",0,0,45831,,45831,45831,-
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011494,شركة تراب لمكافحة الحشرات,"1,495","1,495",0,0,45774,-,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011494,شركة تراب لمكافحة الحشرات,"1,725","1,725",0,0,45803,-,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011494,شركة تراب لمكافحة الحشرات,"2,990","2,990",0,0,45823,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011494,شركة تراب لمكافحة الحشرات,"1,495","1,495",0,0,45830,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,2101010593,شركة سادن المتخصصة للاستشارات الجيولوجية,"13,800",0,"13,800",0,45788,-,-,-,-
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011520,شركة قطين للمقاولات,"53,508","53,508",0,0,45803,-,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,2101010961,مؤسسة رقية الفضل للمقاولات,"65,805","65,805",0,0,45830,45830,45830,45830,1210-6-22
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,2101010961,مؤسسة رقية الفضل للمقاولات,"108,778","108,778",0,0,45803,-,45841,45841,1134-7-3
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,2101010961,مؤسسة رقية الفضل للمقاولات,"112,136","112,136",0,0,45823,45889,45855,45855,223-7-17
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,-,شركة عنان الجزيرة للمقاولات,"12,650","12,650",0,0,45805,-,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,-,شركة رشيد صالح الرشيد,"15,525",0,"15,525",0,45805,-,-,-,-
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011369,مؤسسة مسفر الكربي للمقاولات,"19,451","19,451",0,0,45823,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011521,مؤسسة نجم البناء للمقاولات,"19,451","19,451",0,0,45823,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011522,مؤسسة المستقبل الأمثل للمقاولات,"22,805","22,805",0,0,45823,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103010902,مؤسسة ناصر جميل للمقاولات,"4,781","4,781",0,0,45823,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011520,شركة قطين للمقاولات,"50,508","50,508",0,0,45823,,45852,45852,1057-7-14
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011519,شركة البناء السريع المحدودة,"55,152","55,152",0,0,45823,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011534,مؤسسة دوافع نجد,"4,140","4,140",0,0,45823,,45834,45834,
قطاع الإسكان,إسكان الأصالة الرياض,موردين,,,-,مؤسسة صفوة ساره للنقليات,"11,500","11,500",0,0,45834,,45834,45834,
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011526,شركة فن التشييد للمقاولات,"41,160","41,160",0,0,45830,,45844,45844,435-7-6
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,0,1101000017,طلب عهدة - كريم رضا,"25,000","25,000",0,0,45834,45841,45841,45841,1134-7-3
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,0,1101000017,طلب عهدة - كريم رضا,"25,000","25,000",0,0,45834,45848,45848,45848,108-7-10
قطاع الإسكان,إسكان الأصالة الرياض,عهدة,,0,1101000017,طلب عهدة - كريم رضا,"50,000",0,"50,000",0,45834,-,-,-,-
قطاع المصانع,مصنع أبواب مشاريع الإسكان بجدة,موردين,,,2101010929,مؤسسة فرج حسن بالعبيد,"10,758","10,758",0,0,45830,45830,45830,45830,1210-6-22
قطاع المصانع,مصنع أبواب مشاريع الإسكان بجدة,مقاولين الباطن,,,2103011290,مؤسسة المستقبل التقني لتأجير المعدات,"41,400","41,400",0,0,45839,-,-,45839,-
قطاع المصانع,مصنع أبواب مشاريع الإسكان بجدة,مقاولين الباطن,,,2103011290,مؤسسة المستقبل التقني لتأجير المعدات,"13,800","13,800",0,0,45873,-,-,45873,-
قطاع الإسكان,إسكان الأصالة الرياض,مقاولين الباطن,,,2103011535,مؤسسة وكاد الجزيرة,"17,008","17,008",0,0,45830,45830,45830,45830,1210-6-22
قطاع التحلية,واحة التحلية برابغ,موردين,,,-,مؤسسة روائع فنون الاعمار للمقاولات (مركز الحميدي مهجع الرويلي),"4,830","4,830",0,0,45830,,45838,45838,
